Source,Relation,Word,WordNet Definition,Wikitionary Definition,Oxford Definition
Synset('quick.s.01'),has_lemma,speedy,accomplished rapidly and without delay,Characterized by a rapid or swift motion.,done or occurring quickly
fast,similar_tos,Synset('rapid.s.01'),done or occurring in a brief period of time,Describes a process or concept which occurs quickly.,(of an action) characterized by great speed
fast,similar_tos,Synset('rapid.s.02'),characterized by speed; moving with or capable of moving with high speed,Describes a process or concept which occurs quickly.,(of an action) characterized by great speed
Synset('rapid.s.02'),has_lemma,speedy,characterized by speed; moving with or capable of moving with high speed,Characterized by a rapid or swift motion.,done or occurring quickly
fast,similar_tos,Synset('smart.s.06'),quick and brisk,"Cleverly and/or sarcastically humorous in a way that may be rude and disrespectful.  Cf: (verb) to smart off; (noun) smarty pants, wise guy, wiseacre, wise-ass; (adjective) cute.",having or showing a quick-witted intelligence
fast,similar_tos,Synset('windy.s.03'),"resembling the wind in speed, force, or variability",Accompanied by wind.,characterized by or exposed to strong winds
fast,similar_tos,Synset('winged.s.02'),very fast; as if with wings,swift,having wings for flight
speed,has_attribute,slow,not moving quickly; taking a comparatively long time,"Taking a long time to move or go a short distance, or to perform an action; not quick in motion; proceeding at a low speed.",not allowing or intended for fast travel
slow,similar_tos,Synset('bumper-to-bumper.s.01'),used of traffic,"Heavily crowded and slow-moving, particularly in reference to automobile traffic on a highway.",
slow,similar_tos,Synset('dilatory.s.01'),wasting time,"Intentionally delaying (someone or something), intended to cause delay, gain time, or defer decision.",slow to act
Synset('dilatory.s.01'),has_lemma,laggard,wasting time,Hanging back; loitering.,slower than desired or expected
Synset('dilatory.s.01'),has_lemma,poky,wasting time,slow,(of a room or building) uncomfortably small and cramped
Synset('dilatory.s.01'),has_lemma,pokey,wasting time,fast,
slow,similar_tos,Synset('drawn-out.s.02'),(used of speech) uttered slowly with prolonged vowels,"Protracted, made to take a longer period of time than necessary.",lasting or seeming to last longer than is necessary
slow,similar_tos,Synset('lazy.s.01'),moving slowly and gently,Unwilling to do work or make an effort.,(of a river) slow-moving
slow,similar_tos,Synset('long-play.s.01'),(used of records) playing at a slower speed and for a longer time than earlier records,,long-playing.
Synset('long-play.s.01'),has_lemma,long-playing,(used of records) playing at a slower speed and for a longer time than earlier records,"Referring to records that recorded a greater amount of sound than previous versions had, an LP, generally a 12 inch 33 1/3 RPM record.",(of a record) about 30 cm in diameter and designed to rotate at 331/3 revolutions per minute
slow,similar_tos,Synset('slow-moving.s.01'),moving slowly,,"slow in movement, action, or progress"
slow,similar_tos,Synset('sluggish.s.01'),moving slowly,"Habitually idle and lazy; slothful; dull; inactive; as, a sluggish man.",slow to respond or make progress
Synset('sluggish.s.01'),has_lemma,sulky,moving slowly,"Irritated, gloomy, upset; moodily silent",expressing or suggesting gloom and bad temper
