Source,Relation,Word,WordNet Definition,Wikitionary Definition,Oxford Definition
bang-up,has_lemma,bully,very good,Very good; excellent.,very good; excellent
bang-up,has_lemma,corking,very good,"splendid, enjoyable, bang-up",very good; excellent
bang-up,has_lemma,cracking,very good,Great,excellent
bang-up,has_lemma,dandy,very good,Very good; better than expected but not as good as could be.,excellent
bang-up,has_lemma,great,very good,Very good.,"used in names of animals or plants which are larger than similar kinds, e.g. great tit, greater celandine."
bang-up,has_lemma,groovy,very good,"Cool, neat, interesting.",fashionable and exciting
bang-up,has_lemma,keen,very good,"showing a quick and ardent willingness or responsiveness, enthusiastic, eager; interested, intense.",having or showing great perception or insight
bang-up,has_lemma,neat,very good,"Clean, tidy; free from dirt or impurities.",done with or demonstrating skill or efficiency
bang-up,has_lemma,nifty,very good,"Good; a general term for anything that is good, useful or beneficial.","particularly good, skilful, or effective"
bang-up,has_lemma,not_bad,very good,,
bang-up,has_lemma,peachy,very good,"Very good, excellent",of the nature or appearance of a peach.
bang-up,has_lemma,slap-up,very good,"Excellent, first-class.",(of a meal or celebration) large and sumptuous
bang-up,has_lemma,swell,very good,Excellent.,excellent; very good
bang-up,has_lemma,smashing,very good,"(British informal) Wonderful, very good or impressive. Thought to be corruption of Irish Is maith é sin. (meaning ""that's good"").",excellent; wonderful
good,similar_tos,good_enough,adequately good for the circumstances,,
good,similar_tos,goodish,moderately good of its kind,Rather good than the contrary; not actually bad; tolerable.,fairly good
good,similar_tos,hot,very good; often used in the negative,"Very good, remarkable, exciting.",having a high degree of heat or a high temperature
good,similar_tos,redeeming,compensating for some fault or defect,,compensating for someone's or something's faults; compensatory
good,similar_tos,satisfactory,meeting requirements,Done to satisfaction; adequate or sufficient,"fulfilling expectations or needs; acceptable, though not outstanding or perfect"
satisfactory,has_lemma,acceptable,meeting requirements,"Capable, worthy, or sure of being accepted or received with pleasure; pleasing to a receiver; gratifying; agreeable; welcome; as, an acceptable present, one acceptable to us.",moderately good; satisfactory
good,similar_tos,solid,characterized by good substantial quality,Filling.,on good terms with
good,similar_tos,superb,surpassingly good,first-rate; of the highest quality; exceptionally good,very good; excellent
good,similar_tos,well-behaved,(usually of children) someone who behaves in a manner that the speaker believes is correct,Having good manners and acting properly,
well-behaved,has_lemma,well_behaved,(usually of children) someone who behaves in a manner that the speaker believes is correct,,(of a computer program) communicating with hardware via standard operating system calls rather than directly and therefore able to be used on different machines.
quality,has_attribute,negative,characterized by or displaying negation or denial or opposition or resistance; having no positive features,damaging; undesirable; unfavourable,"(of a person, attitude, or situation) not desirable or optimistic"
negative,similar_tos,antagonistic,indicating opposition or resistance,"Contending or acting against; as, antagonistic forces.",showing or feeling active opposition or hostility towards someone or something
antagonistic,has_lemma,counter,indicating opposition or resistance,Contrary; opposite; contrasted; opposed; adverse; antagonistic.,"responding to something of the same kind, especially in opposition"
negative,similar_tos,perverse,marked by a disposition to oppose and contradict,"Turned aside; hence, specifically, turned away from the (morally) right; willfully erring; wicked; perverted.",showing a deliberate and obstinate desire to behave in a way that is unreasonable or unacceptable
quality,has_attribute,positive,characterized by or displaying affirmation or acceptance or certainty etc.,"Of number, greater than zero.","constructive, optimistic, or confident"
positive,similar_tos,affirmative,expecting the best,positive,agreeing with or consenting to a statement or request
affirmative,has_lemma,optimistic,expecting the best,Expecting the best in all possible ways.,hopeful and confident about the future
positive,similar_tos,constructive,emphasizing what is laudable or hopeful or to the good,"Imputed by law; created to give legal effect to something for equitable reasons, as with constructive notice or a constructive trust.",having or intended to have a useful or beneficial purpose
