Word,Variable,Factor,Definition,Deduced
good,nifty,1.0,"a general term for anything that is good, useful or beneficial.",Yes
nifty,good,1.4,"particularly good, skilful, or effective",
good,nifty,0.7142857142857143,"particularly good, skilful, or effective",Yes
not_bad,good,1.4,very good,
good,not_bad,0.7142857142857143,very good,Yes
peachy,good,1.4,very good,
good,peachy,0.7142857142857143,very good,Yes
peachy,good,1.4,"very good, excellent",
good,peachy,0.7142857142857143,"very good, excellent",Yes
peachy,high_prop,1,of the nature or appearance of a peach.,
high_prop,peachy,1.0,of the nature or appearance of a peach.,Yes
slap-up,good,1.4,very good,
good,slap-up,0.7142857142857143,very good,Yes
swell,good,1.4,very good,
good,swell,0.7142857142857143,very good,Yes
swell,good,1.4,very good,
good,swell,0.7142857142857143,very good,Yes
smashing,good,1.4,very good,
good,smashing,0.7142857142857143,very good,Yes
smashing,good,1.4,"(british informal) wonderful, very good or impressive. thought to be corruption of irish is maith é sin. (meaning ""that's good"").",
good,smashing,0.7142857142857143,"(british informal) wonderful, very good or impressive. thought to be corruption of irish is maith é sin. (meaning ""that's good"").",Yes
smashing,good,1,"(british informal) wonderful, very good or impressive. thought to be corruption of irish is maith é sin. (meaning ""that's good"").",
good,smashing,1.0,"(british informal) wonderful, very good or impressive. thought to be corruption of irish is maith é sin. (meaning ""that's good"").",Yes
good_enough,good,1,adequately good for the circumstances,
good,good_enough,1.0,adequately good for the circumstances,Yes
goodish,high_prop,1,moderately good of its kind,
high_prop,goodish,1.0,moderately good of its kind,Yes
goodish,good,0.8,moderately good of its kind,
good,goodish,1.25,moderately good of its kind,Yes
goodish,good,0.8,rather good than the contrary,
good,goodish,1.25,rather good than the contrary,Yes
goodish,bad,-1,not actually bad,
bad,goodish,-1.0,not actually bad,Yes
goodish,good,0.8,fairly good,
good,goodish,1.25,fairly good,Yes
hot,good,1.4,very good,
good,hot,0.7142857142857143,very good,Yes
hot,negative,1,often used in the negative,
negative,hot,1.0,often used in the negative,Yes
hot,good,1.4,"very good, remarkable, exciting.",
good,hot,0.7142857142857143,"very good, remarkable, exciting.",Yes
satisfactory,acceptable,1,"acceptable, though not outstanding or perfect",
acceptable,satisfactory,1.0,"acceptable, though not outstanding or perfect",Yes
acceptable,good,0.8,moderately good,
good,acceptable,1.25,moderately good,Yes
acceptable,satisfactory,1,satisfactory,
satisfactory,acceptable,1.0,satisfactory,Yes
solid,high_prop,1.0,characterized by good substantial quality,
high_prop,solid,1.0,characterized by good substantial quality,Yes
solid,good,1,on good terms with,
good,solid,1.0,on good terms with,Yes
superb,good,1,surpassingly good,
good,superb,1.0,surpassingly good,Yes
superb,high_prop,1,of the highest quality,
high_prop,superb,1.0,of the highest quality,Yes
superb,good,1.4,exceptionally good,
good,superb,0.7142857142857143,exceptionally good,Yes
superb,good,1.4,very good,
good,superb,0.7142857142857143,very good,Yes
well-behaved,good,1,having good manners and acting properly,
good,well-behaved,1.0,having good manners and acting properly,Yes
negative,positive,1,having no positive features,
positive,negative,1.0,having no positive features,Yes
negative,unfavourable,1,unfavourable,
unfavourable,negative,1.0,unfavourable,Yes
negative,optimistic,1,"(of a person, attitude, or situation) not desirable or optimistic",
optimistic,negative,1.0,"(of a person, attitude, or situation) not desirable or optimistic",Yes
counter,antagonistic,1,antagonistic.,
antagonistic,counter,1.0,antagonistic.,Yes
counter,high_prop,1,"responding to something of the same kind, especially in opposition",
high_prop,counter,1.0,"responding to something of the same kind, especially in opposition",Yes
positive,great,1,"of number, greater than zero.",
great,positive,1.0,"of number, greater than zero.",Yes
positive,constructive,1,"constructive, optimistic, or confident",
constructive,positive,1.0,"constructive, optimistic, or confident",Yes
positive,optimistic,1,"constructive, optimistic, or confident",
optimistic,positive,1.0,"constructive, optimistic, or confident",Yes
affirmative,positive,1,positive,
positive,affirmative,1.0,positive,Yes
constructive,good,1,emphasizing what is laudable or hopeful or to the good,
good,constructive,1.0,emphasizing what is laudable or hopeful or to the good,Yes
