Word,Variable,Factor,Definition,Deduced
slow,bumper-to-bumper,1.0,"heavily crowded and slow-moving, particularly in reference to automobile traffic on a highway.",Yes
laggard,slow,1,slower than desired or expected,
slow,laggard,1.0,slower than desired or expected,Yes
poky,slow,1,slow,
slow,poky,1.0,slow,Yes
pokey,fast,1,fast,
fast,pokey,1.0,fast,Yes
lazy,slow,1,(of a river) slow-moving,
slow,lazy,1.0,(of a river) slow-moving,Yes
long-play,slow,1,(used of records) playing at a slower speed and for a longer time than earlier records,
slow,long-play,1.0,(used of records) playing at a slower speed and for a longer time than earlier records,Yes
long-playing,slow,1,(used of records) playing at a slower speed and for a longer time than earlier records,
slow,long-playing,1.0,(used of records) playing at a slower speed and for a longer time than earlier records,Yes
sluggish,lazy,1,habitually idle and lazy,
lazy,sluggish,1.0,habitually idle and lazy,Yes
